partida_id,arquivo_demo,mapa_id,data_hora,rank_medio
63,003228522932821033154_0241052820.dem,1,09/28/2017 8:49:31 PM,7.0
64,003228523100324757651_0554545295.dem,1,09/28/2017 8:49:36 PM,14.0
65,003228524137559359682_1349817399.dem,7,09/28/2017 8:49:43 PM,11.0
66,003228524249228509185_1704502195.dem,2,09/28/2017 8:49:44 PM,10.0
67,003228524771067035851_0177406728.dem,10,09/28/2017 8:49:45 PM,10.0
68,003228528149058814007_1949725266.dem,1,09/28/2017 8:49:51 PM,8.0
69,003228534430448484583_1675258063.dem,4,09/28/2017 8:50:03 PM,10.0
70,003228539013178589488_0976082054.dem,2,09/28/2017 8:50:04 PM,13.0
71,003228547654652788873_0194475765.dem,2,09/28/2017 8:50:05 PM,9.0
72,003228554545927815501_0061120950.dem,4,09/28/2017 8:50:12 PM,10.0
73,003228567196753985691_1236579971.dem,4,09/28/2017 8:50:13 PM,12.0
74,003228568289823162379_1173376219.dem,7,09/28/2017 8:50:16 PM,8.0
75,003228570475961516317_1524039860.dem,7,09/28/2017 8:50:53 PM,12.0
76,003228573233330520254_0212846622.dem,1,09/28/2017 8:50:54 PM,16.0
77,003228575138148516059_1652956080.dem,7,09/28/2017 8:51:00 PM,12.0
78,003228576216185307400_1201189756.dem,3,09/28/2017 8:51:04 PM,8.0
79,003228581827560079448_1678686285.dem,2,09/28/2017 8:51:09 PM,7.0
80,003228583962158825812_0856396979.dem,3,09/28/2017 8:51:17 PM,9.0
81,003228588851979092191_0258969246.dem,2,09/28/2017 8:51:17 PM,12.0
82,003228594757559124189_1205860142.dem,2,09/28/2017 8:51:25 PM,12.0
83,003228600459128209546_0438884099.dem,7,09/28/2017 8:51:28 PM,12.0
84,003228601788420587561_0855660310.dem,4,09/28/2017 8:51:30 PM,8.0
85,003228603626666590417_0499718194.dem,2,09/28/2017 8:51:35 PM,12.0
86,003228604844289818854_1695009044.dem,4,09/28/2017 8:51:40 PM,9.0
87,003228605050448249213_1048440219.dem,4,09/28/2017 8:51:44 PM,14.0
88,003228606665355952247_1271487854.dem,4,09/28/2017 8:51:49 PM,8.0
89,003228608591648784428_1516949017.dem,2,09/28/2017 8:51:50 PM,16.0
90,003228609119929761945_1406720016.dem,3,09/28/2017 8:51:56 PM,14.0
91,003228610696182759735_1895811654.dem,4,09/28/2017 8:52:02 PM,12.0
92,003228611291035730108_1275483177.dem,4,09/28/2017 8:52:10 PM,9.0
93,003228613406307123386_1864577440.dem,3,09/28/2017 8:52:10 PM,8.0
94,003228616034827108564_0712246599.dem,4,09/28/2017 8:52:12 PM,8.0
95,003228616986162364633_1597459626.dem,4,09/28/2017 8:52:24 PM,10.0
96,003228617982594777208_1803826498.dem,3,09/28/2017 8:52:26 PM,10.0
97,003228619004796993765_1629406800.dem,3,09/28/2017 8:52:27 PM,13.0
98,003228619487980814562_1327450967.dem,4,09/28/2017 8:52:52 PM,12.0
99,003228628432250208416_1515008327.dem,1,09/28/2017 8:52:58 PM,10.0
100,003228631638443294721_1033296143.dem,2,09/28/2017 8:53:04 PM,11.0
101,003228634838193930308_0119760819.dem,7,09/28/2017 8:53:11 PM,11.0
102,003228636429479313535_0866050187.dem,4,09/28/2017 8:53:26 PM,11.0
103,003228709759603441820_0250346534.dem,5,09/28/2017 8:53:44 PM,15.0
104,003228711846957547634_0025892281.dem,2,09/28/2017 8:54:07 PM,9.0
105,003228713921426751617_1247940764.dem,1,09/28/2017 8:54:24 PM,13.0
106,003228728685376831583_1163957089.dem,1,09/28/2017 8:54:30 PM,12.0
107,003228729340359344164_1974769991.dem,4,09/28/2017 8:54:43 PM,13.0
108,003228732406965993731_0243687792.dem,1,09/28/2017 8:55:06 PM,10.0
109,003228732834315239485_0503224075.dem,1,09/28/2017 8:55:20 PM,7.0
110,003228734481435197455_0069046081.dem,1,09/28/2017 8:55:35 PM,15.0
111,003228735885889503472_0563934736.dem,2,09/28/2017 8:55:42 PM,10.0
112,003228739800752193890_1401860897.dem,1,09/28/2017 8:55:44 PM,11.0
113,003228751687074185523_1069066587.dem,4,09/28/2017 8:56:01 PM,8.0
114,003228755273371877761_1923026440.dem,1,09/28/2017 8:56:05 PM,13.0
115,003228763508971667602_0376718819.dem,1,09/28/2017 8:56:14 PM,12.0
116,003228763594871013787_1083018565.dem,2,09/28/2017 8:57:19 PM,9.0
117,003228765085224665295_0100900919.dem,3,09/28/2017 8:57:40 PM,11.0
118,003228769096724119917_1376766484.dem,2,09/28/2017 8:58:30 PM,10.0
119,003228776653719077076_0644531776.dem,2,09/28/2017 8:58:30 PM,15.0
120,003228783328098254973_1283797294.dem,4,09/28/2017 8:58:50 PM,10.0
121,003228783907918839902_1571370494.dem,4,09/28/2017 8:58:52 PM,9.0
122,003228787322417840434_0680980714.dem,11,09/28/2017 8:59:05 PM,13.0
123,003228789446279168295_1579589565.dem,1,09/28/2017 8:59:05 PM,12.0
124,003228791853608337707_1981362221.dem,7,09/28/2017 8:59:15 PM,10.0
125,003228792566572908649_0260616732.dem,1,09/28/2017 8:59:37 PM,14.0
126,003228799883049697620_1729502545.dem,3,09/28/2017 8:59:37 PM,12.0
127,003228800660438777934_0872054010.dem,4,09/28/2017 8:59:48 PM,14.0
128,003228800720568320115_1055389584.dem,4,09/28/2017 9:01:09 PM,15.0
129,003228801429237924033_0440318990.dem,1,09/28/2017 9:01:21 PM,11.0
130,003228806606820999458_1961238910.dem,2,09/28/2017 9:01:27 PM,15.0
131,003228806862371553528_0951696470.dem,2,09/28/2017 9:01:32 PM,11.0
132,003228807158724296931_1649560985.dem,4,09/28/2017 9:01:36 PM,13.0
133,003228807818001776670_1123584002.dem,2,09/28/2017 9:01:58 PM,15.0
134,003228813160941092879_1393500246.dem,5,09/28/2017 9:01:57 PM,8.0
135,003228814689949450316_0544919655.dem,4,09/28/2017 9:02:02 PM,12.0
136,003228816438001139883_1149904779.dem,4,09/28/2017 9:02:19 PM,14.0
137,003228819815992918110_1825688645.dem,3,09/28/2017 9:02:38 PM,12.0
138,003228830057342435345_0756237427.dem,7,09/28/2017 9:02:40 PM,9.0
139,003228831949275529309_1441791041.dem,4,09/28/2017 9:02:54 PM,12.0
140,003228833274272940117_1413899635.dem,2,09/28/2017 9:03:02 PM,16.0
141,003228838707406569548_1756153596.dem,3,09/28/2017 9:03:07 PM,15.0
142,003228864079925870632_1548739157.dem,4,09/28/2017 9:03:16 PM,12.0
143,003228880564010352695_1312627955.dem,1,09/28/2017 9:03:23 PM,11.0
144,003228883482440630492_1184293049.dem,1,09/28/2017 9:03:33 PM,12.0
145,003228893229868908824_2093111393.dem,2,09/28/2017 9:03:40 PM,10.0
146,003228894488294326370_1067397527.dem,4,09/28/2017 9:03:47 PM,10.0
147,003228927147225645370_0491193908.dem,1,09/28/2017 9:03:50 PM,12.0
148,003228931452930359475_0143800935.dem,1,09/28/2017 9:04:00 PM,9.0
149,003228932226024472901_1044523022.dem,3,09/28/2017 9:04:05 PM,14.0
150,003228936825934446773_1577835102.dem,1,09/28/2017 9:04:16 PM,9.0
151,003228937047125262585_1299621840.dem,4,09/28/2017 9:04:19 PM,12.0
152,003228938468759437440_1839268385.dem,4,09/28/2017 9:04:28 PM,9.0
153,003228938799471919216_1353981540.dem,7,09/28/2017 9:05:55 PM,16.0
154,003228941638445302100_0857510256.dem,1,09/28/2017 9:06:10 PM,16.0
155,003228946970647199916_2091118936.dem,2,09/28/2017 9:06:22 PM,10.0
156,003228951995758936443_1712218417.dem,3,09/28/2017 9:06:42 PM,10.0
157,003228952738788278683_0379199320.dem,4,09/28/2017 9:06:52 PM,10.0
158,003228954132505166241_1511969338.dem,1,09/28/2017 9:06:57 PM,14.0
159,003228954136800133472_0020978085.dem,3,09/28/2017 9:07:03 PM,10.0
160,003228955393078067599_1165003778.dem,1,09/28/2017 9:07:09 PM,14.0
161,003228956243481592108_0568183242.dem,1,09/28/2017 9:07:14 PM,12.0
162,003228956408837832844_1751552736.dem,1,09/28/2017 9:07:26 PM,7.0
163,003228956692305674541_1200070563.dem,7,09/28/2017 9:07:31 PM,10.0
164,003228957598543773760_1496143362.dem,2,09/28/2017 9:07:34 PM,16.0
165,003228961775399469139_1165947431.dem,1,09/28/2017 9:07:50 PM,14.0
166,003228962271468191815_0902814689.dem,4,09/28/2017 9:08:04 PM,14.0
167,003228962554936033410_1558038117.dem,2,09/28/2017 9:08:09 PM,10.0
168,003228962647277830294_1533883507.dem,1,09/28/2017 9:08:56 PM,9.0
169,003228963257163186337_0992663535.dem,2,09/28/2017 9:08:58 PM,8.0
170,003228963989455110208_0268916296.dem,1,09/28/2017 9:09:03 PM,8.0
171,003228967034586923153_1266276750.dem,5,09/28/2017 9:09:11 PM,14.0
172,003228967554277965896_1628783941.dem,1,09/28/2017 9:09:23 PM,14.0
173,003228969523520471127_1324315818.dem,1,09/28/2017 9:09:36 PM,13.0
174,003228972630929309900_0641488811.dem,1,09/28/2017 9:10:16 PM,14.0
175,003228973045393653839_0931145545.dem,7,09/28/2017 9:10:28 PM,13.0
176,003228975313136386313_1958029784.dem,3,09/28/2017 9:10:31 PM,14.0
177,003228977617386340499_0885883009.dem,1,09/28/2017 9:10:40 PM,7.0
178,003228979511466918203_0851788765.dem,1,09/28/2017 9:10:40 PM,14.0
179,003228980821431943175_2076892815.dem,2,09/28/2017 9:12:30 PM,14.0
180,003228981218716418246_1442609727.dem,4,09/28/2017 9:12:30 PM,14.0
181,003228985206593552454_1649111154.dem,4,09/28/2017 9:12:33 PM,13.0
182,003228985459996623010_1045902552.dem,3,09/28/2017 9:13:04 PM,12.0
183,003228986314695114949_1654580420.dem,3,09/28/2017 9:13:05 PM,12.0
184,003228986677619851468_1163338204.dem,2,09/28/2017 9:13:11 PM,12.0
185,003228989001197158466_1527084482.dem,1,09/28/2017 9:13:24 PM,13.0
186,003228991210957832368_0022655746.dem,9,09/28/2017 9:13:25 PM,12.0
187,003228992954714554535_0698655660.dem,2,09/28/2017 9:13:40 PM,12.0
188,003228993882427490549_1829349213.dem,3,09/28/2017 9:13:40 PM,13.0
189,003229008251240579086_0203897869.dem,11,09/28/2017 9:13:50 PM,9.0
190,003229033930850041971_1793770890.dem,1,09/28/2017 9:13:52 PM,7.0
191,003229048793584369755_2069990217.dem,4,09/28/2017 9:14:15 PM,15.0
192,003229058467998203929_1290950778.dem,1,09/28/2017 9:14:18 PM,7.0
193,003229059520265191594_0967001979.dem,1,09/28/2017 9:14:24 PM,7.0
194,003229066613403680897_0205146812.dem,3,09/28/2017 9:14:37 PM,16.0
195,003229074891953143867_0135227254.dem,2,09/28/2017 9:14:47 PM,9.0
196,003229078486840770670_1570854734.dem,1,09/28/2017 9:14:48 PM,10.0
197,003229082015156404327_2134633337.dem,2,09/28/2017 9:14:57 PM,11.0
198,003229088015225716893_0523492754.dem,4,09/28/2017 9:15:11 PM,8.0
199,003229092694592585798_1090331262.dem,1,09/28/2017 9:15:17 PM,14.0
200,003229098653859709124_1362854458.dem,4,09/28/2017 9:15:25 PM,10.0
201,003229098759086408063_0525182819.dem,1,09/28/2017 9:15:29 PM,13.0
202,003229100870062833918_0571843820.dem,1,09/28/2017 9:15:51 PM,13.0
203,003229107196549661071_0592146525.dem,1,09/28/2017 9:16:04 PM,13.0
204,003229110164372062465_1604075286.dem,1,09/28/2017 9:16:13 PM,12.0
205,003229110748487614539_1881961142.dem,2,09/28/2017 9:16:33 PM,15.0
206,003229110877336633587_0126832021.dem,1,09/28/2017 9:16:40 PM,13.0
207,003229113952533217416_1707672214.dem,7,09/28/2017 9:16:44 PM,14.0
208,003229122602597351783_0402003530.dem,4,09/28/2017 9:17:04 PM,14.0
209,003229126343513866539_0913210058.dem,1,09/28/2017 9:17:12 PM,10.0
210,003229127535367291038_0988727861.dem,4,09/28/2017 9:17:15 PM,15.0
211,003229130627743744151_0681412796.dem,1,09/28/2017 9:17:41 PM,8.0
212,003229131647798477122_1061457453.dem,4,09/28/2017 9:17:50 PM,13.0
213,003229135895521132746_1281506752.dem,1,09/28/2017 9:18:08 PM,14.0
214,003229138242720759922_0767242198.dem,4,09/28/2017 9:18:11 PM,14.0
215,003229145002999283763_0086893393.dem,4,09/28/2017 9:18:22 PM,9.0
216,003229149259311874419_1588690283.dem,1,09/28/2017 9:18:29 PM,14.0
217,003229153653063418012_2100556712.dem,12,09/28/2017 9:18:34 PM,16.0
218,003229158229351071854_0975056966.dem,4,09/28/2017 9:18:43 PM,13.0
219,003229161044702134442_2053951445.dem,4,09/28/2017 9:19:10 PM,12.0
220,003229167225160073610_1480811396.dem,2,09/28/2017 9:19:23 PM,12.0
221,003229168831477841933_1881140444.dem,4,09/28/2017 9:19:33 PM,7.0
222,003229172452135272695_1177242798.dem,1,09/28/2017 9:20:09 PM,15.0
223,003229182276872962077_0782997202.dem,1,09/28/2017 9:20:15 PM,9.0
224,003229183026344755346_0661981123.dem,13,09/28/2017 9:20:24 PM,11.0
225,003229184426504093797_1368368255.dem,4,09/28/2017 9:20:35 PM,13.0
226,003229184858148306981_0050732809.dem,3,09/28/2017 9:20:36 PM,9.0
227,003229187692826722474_1323376924.dem,1,09/28/2017 9:20:40 PM,7.0
228,003229194322108743827_1414486802.dem,11,09/28/2017 9:20:50 PM,9.0
229,003229197382272942254_0781338421.dem,4,09/28/2017 9:20:59 PM,10.0
230,003229200861196451854_1458445096.dem,1,09/28/2017 9:20:59 PM,10.0
231,003229205317225021485_0146383857.dem,1,09/28/2017 9:21:30 PM,7.0
232,003229230468553506960_0342864695.dem,1,09/28/2017 9:21:34 PM,8.0
233,003229239994790969393_0172706246.dem,1,09/28/2017 9:21:37 PM,9.0
234,003229247182418739202_1701371016.dem,1,09/28/2017 9:22:27 PM,15.0
235,003229258634949034087_1529467382.dem,4,09/28/2017 9:22:33 PM,9.0
236,003229265229871317129_2082539588.dem,1,09/28/2017 9:22:44 PM,7.0
237,003229274141928456229_1025636140.dem,1,09/28/2017 9:22:54 PM,9.0
238,003229283361075757162_0705130008.dem,2,09/28/2017 9:23:23 PM,12.0
239,003229284832102056165_1349143323.dem,2,09/28/2017 9:23:28 PM,13.0
240,003229287984608051257_0323793142.dem,4,09/28/2017 9:23:37 PM,11.0
241,003229289019695169564_0191213544.dem,4,09/28/2017 9:23:37 PM,10.0
242,003229295977542189079_0355242910.dem,1,09/28/2017 9:23:44 PM,15.0
243,003229299548807495685_1126668731.dem,2,09/28/2017 9:23:46 PM,12.0
244,003229315427301589208_1056392650.dem,4,09/28/2017 9:23:52 PM,7.0
245,003229315478841196800_1583497003.dem,1,09/28/2017 9:23:57 PM,16.0
246,003229328578491449421_1026725518.dem,1,09/28/2017 9:24:22 PM,7.0
247,003229329877719056886_1271046748.dem,1,09/28/2017 9:24:40 PM,12.0
248,003229330307215786345_0243643061.dem,7,09/28/2017 9:24:41 PM,12.0
249,003229330582093692935_1276557671.dem,2,09/28/2017 9:24:42 PM,8.0
250,003229334630100369610_1182104128.dem,3,09/28/2017 9:24:56 PM,9.0
251,003229337125476368527_0275263276.dem,2,09/28/2017 9:25:34 PM,12.0
252,003229339434021290167_0086831349.dem,1,09/28/2017 9:26:03 PM,10.0
253,003229344373233680668_1310474406.dem,4,09/28/2017 9:26:26 PM,11.0
254,003229350740522696888_0052187465.dem,4,09/28/2017 9:26:38 PM,12.0
255,003229351661793182077_0605842236.dem,9,09/28/2017 9:27:04 PM,14.0
256,003229353678280327230_1691733833.dem,4,09/28/2017 9:27:10 PM,9.0
257,003229354331115356299_0783734632.dem,2,09/28/2017 9:27:17 PM,8.0
258,003229358868748304712_1710253324.dem,14,09/28/2017 9:27:26 PM,12.0
259,003229359528025784321_1289340245.dem,2,09/28/2017 9:27:31 PM,8.0
260,003229363004801810761_0423559249.dem,2,09/28/2017 9:27:39 PM,16.0
261,003229364035593961536_0586154783.dem,1,09/28/2017 9:27:44 PM,7.0
262,003229365023436439630_0699739467.dem,10,09/28/2017 9:27:47 PM,12.0
263,003229369885339418667_1040089946.dem,3,09/28/2017 9:28:03 PM,12.0
264,003229375488124256455_1075444020.dem,5,09/28/2017 9:28:07 PM,16.0
265,003229377380057350216_0319934617.dem,2,09/28/2017 9:28:07 PM,16.0
266,003229427994099450073_1441425137.dem,4,09/28/2017 9:28:26 PM,10.0
267,003229430966216818885_1972498023.dem,9,09/28/2017 9:28:28 PM,15.0
268,003229442893340999694_0620841229.dem,3,09/28/2017 9:28:43 PM,10.0
269,003229444856141054184_1410434186.dem,2,09/28/2017 9:28:47 PM,11.0
270,003229450774605988084_1965446428.dem,2,09/28/2017 9:29:30 PM,12.0
271,003229451090286084113_1176967429.dem,2,09/28/2017 9:29:37 PM,8.0
272,003229452606409539656_0951611062.dem,4,09/28/2017 9:29:45 PM,9.0
273,003229453976504107160_0617177514.dem,4,09/28/2017 9:30:42 PM,9.0
274,003229456607171575948_0764959992.dem,2,09/28/2017 9:31:59 PM,11.0
275,003229458106115162393_0161356099.dem,4,09/28/2017 9:32:13 PM,14.0
276,003229459697400545568_1519987007.dem,9,09/28/2017 9:32:18 PM,16.0
277,003229465766189334656_0207233969.dem,2,09/28/2017 9:32:33 PM,10.0
278,003229468321694875731_0337602080.dem,4,09/28/2017 9:33:09 PM,15.0
279,003229468368939516218_0397926130.dem,4,09/28/2017 9:33:29 PM,10.0
280,003229484064897499153_1970851280.dem,4,09/28/2017 9:33:43 PM,8.0
281,003229487702734799141_1941031165.dem,1,09/28/2017 9:33:44 PM,13.0
282,003229492483033399302_2103522374.dem,1,09/28/2017 9:34:02 PM,15.0
283,003229501184637141381_2064669161.dem,7,09/28/2017 9:34:04 PM,13.0
284,003229503845369381050_0498926117.dem,3,09/28/2017 9:34:13 PM,13.0
285,003229509832553791622_0408576889.dem,9,09/28/2017 9:34:16 PM,12.0
286,003229512250620379543_0575629118.dem,1,09/28/2017 9:34:17 PM,9.0
287,003229512555563057280_1385830458.dem,1,09/28/2017 9:34:47 PM,11.0
288,003229520602184286388_1954319761.dem,4,09/28/2017 9:34:50 PM,9.0
289,003229522637998784550_0985923831.dem,5,09/28/2017 9:35:02 PM,10.0
290,003229523473369923943_1697161991.dem,4,09/28/2017 9:35:05 PM,9.0
291,003229528532841398722_2059935382.dem,4,09/28/2017 9:35:15 PM,9.0
292,003229529836363972856_1413899635.dem,4,09/28/2017 9:35:18 PM,7.0
293,003229533109129052181_2118199567.dem,4,09/28/2017 9:35:26 PM,9.0
294,003229535177155805218_0116928269.dem,7,09/28/2017 9:35:26 PM,7.0
295,003229538361874055382_0832669199.dem,1,09/28/2017 9:35:30 PM,16.0
296,003229538926662254704_1429272692.dem,4,09/28/2017 9:35:38 PM,9.0
297,003229540631764271280_0606473841.dem,4,09/28/2017 9:35:44 PM,9.0
298,003229547381305376770_2087454223.dem,4,09/28/2017 9:36:20 PM,9.0
299,003229571987173015599_0497791753.dem,2,09/28/2017 9:36:31 PM,10.0
300,003229575324362604568_1774667547.dem,7,09/28/2017 9:36:44 PM,15.0
301,003229603099916107808_1201131139.dem,7,09/28/2017 9:36:53 PM,12.0
302,003229630229077033177_0192482483.dem,1,09/28/2017 9:37:03 PM,12.0
303,003229647887835070622_1859892571.dem,4,09/28/2017 9:37:06 PM,10.0
304,003229656660305772778_1896729345.dem,1,09/28/2017 9:37:29 PM,15.0
305,003229661264510714230_0375081577.dem,13,09/28/2017 9:37:35 PM,10.0
306,003229662003245088937_0196233220.dem,1,09/28/2017 9:37:49 PM,15.0
307,003229664328969879732_1500722436.dem,4,09/28/2017 9:37:56 PM,8.0
308,003229680473751945602_1824793669.dem,1,09/28/2017 9:38:03 PM,16.0
309,003229690030054178968_0747907144.dem,2,09/28/2017 9:38:15 PM,9.0
310,003229691591274791050_1547788392.dem,2,09/28/2017 9:38:20 PM,12.0
311,003229695684378624326_0208715263.dem,2,09/28/2017 9:38:28 PM,14.0
312,003229697013671002182_1466900564.dem,2,09/28/2017 9:39:16 PM,8.0
313,003229699906331476300_2128703118.dem,2,09/28/2017 9:39:16 PM,8.0
314,003229717081905692769_0177897980.dem,5,09/28/2017 9:39:25 PM,13.0
315,003229729157206245401_0458144590.dem,2,09/28/2017 9:39:41 PM,16.0
316,003229734487260659917_1237904587.dem,4,09/28/2017 9:40:28 PM,16.0
317,003229745460902101049_0797709044.dem,2,09/28/2017 9:40:34 PM,11.0
318,003229757834702880837_1897764822.dem,1,09/28/2017 9:40:42 PM,7.0
319,003229781242274644081_0597142822.dem,3,09/28/2017 9:40:55 PM,14.0
320,003229781326026506299_0434140977.dem,1,09/28/2017 9:40:55 PM,13.0
321,003229789572363714667_0987294372.dem,1,09/28/2017 9:41:01 PM,8.0
322,003229821496855625731_0172264905.dem,7,09/28/2017 9:41:23 PM,8.0
323,003229841850705641556_1627920175.dem,3,09/28/2017 9:41:31 PM,15.0
324,003229856640425525371_0920471988.dem,4,09/28/2017 9:41:31 PM,10.0
325,003229873989945917755_1692175995.dem,2,09/28/2017 9:41:38 PM,13.0
326,003229875514659307610_0134002915.dem,4,09/28/2017 9:41:42 PM,8.0
327,003229879803184152646_0167625648.dem,2,09/28/2017 9:41:43 PM,9.0
328,003229883451758870739_1064231960.dem,5,09/28/2017 9:42:16 PM,16.0
329,003229889574234751006_2021627776.dem,2,09/28/2017 9:42:25 PM,16.0
330,003229890862724939995_1978374142.dem,4,09/28/2017 9:42:29 PM,8.0
331,003229894457612566679_0443040516.dem,4,09/28/2017 9:42:52 PM,9.0
332,003229897696017907904_0341782541.dem,4,09/28/2017 9:42:53 PM,16.0
333,003229900337422794781_1466668816.dem,4,09/28/2017 9:42:55 PM,9.0
334,003229906395474165890_1215500133.dem,2,09/28/2017 9:42:57 PM,9.0
335,003229933505307738296_0779890107.dem,4,09/28/2017 9:43:29 PM,13.0
336,003230038747038875980_0034209147.dem,3,09/28/2017 9:43:32 PM,14.0
337,003230078110414143744_0902814689.dem,1,09/28/2017 9:43:39 PM,7.0
338,003230081763283828903_0196590451.dem,1,09/28/2017 9:43:57 PM,7.0
339,003230103729894064207_2120312026.dem,4,09/28/2017 9:44:04 PM,12.0
340,003230109749290729601_1827674230.dem,1,09/28/2017 9:44:42 PM,16.0
341,003230129544794996872_0841100950.dem,1,09/28/2017 9:44:50 PM,8.0
342,003230139468316934240_0500693067.dem,5,09/28/2017 9:44:55 PM,13.0
343,003230142214948519948_1783939569.dem,4,09/28/2017 9:44:58 PM,8.0
344,003230234696331821145_0478714219.dem,1,09/28/2017 9:45:04 PM,9.0
345,003230234971209728235_1707577783.dem,4,09/28/2017 9:45:51 PM,15.0
346,003230235353461817529_2041490746.dem,4,09/28/2017 9:45:55 PM,13.0
347,003230236762211090699_1664649267.dem,5,09/28/2017 9:46:20 PM,13.0
348,003230238432953368768_0333047143.dem,3,09/28/2017 9:46:53 PM,10.0
